Year,League,Statistic,Team,Value
1915,AL,Strikeouts,Washington,715.0
1916,AL,Complete Games,Philadelphia,94.0
1916,AL,ERA,Chicago,2.36
1916,AL,Fewest Hits Allowed,Chicago,1189.0
1916,AL,Fewest Home Runs Allowed,Boston,10.0
1916,AL,Fewest Walks Allowed,Chicago,405.0
1916,AL,Saves,New York,17.0
1916,AL,Shutouts,Boston,24.0
1916,AL,Strikeouts,Washington,706.0
1917,AL,Complete Games,Boston,115.0
1917,AL,ERA,Chicago,2.16
1917,AL,Fewest Hits Allowed,Boston,1197.0
1917,AL,Fewest Home Runs Allowed,Chicago,10.0
1917,AL,Fewest Walks Allowed,Boston,413.0
1917,AL,Saves,Cleveland,22.0
1917,AL,Shutouts,Chicago,22.0
1917,AL,Strikeouts,Washington,637.0
1918,AL,Complete Games,Boston,105.0
1918,AL,ERA,Washington,2.14
1918,AL,Fewest Hits Allowed,Boston,931.0
1918,AL,Fewest Home Runs Allowed,Boston,9.0
1918,AL,Fewest Walks Allowed,Chicago,300.0
1918,AL,Saves,Cleveland,13.0
1918,AL,Shutouts,Boston,26.0
1918,AL,Strikeouts,Washington,505.0
1919,AL,Complete Games,Boston,89.0
1919,AL,ERA,New York,2.82
1919,AL,Fewest Hits Allowed,New York,1143.0
1919,AL,Fewest Home Runs Allowed,Boston,16.0
1919,AL,Fewest Walks Allowed,Chicago,342.0
1919,AL,Saves,Cleveland,10.0
1919,AL,Shutouts,Boston,15.0
1919,AL,Strikeouts,Washington,536.0
1920,AL,Complete Games,Chicago,109.0
1920,AL,ERA,New York,3.32
1920,AL,Fewest Hits Allowed,New York,1414.0
1920,AL,Fewest Home Runs Allowed,Cleveland,31.0
1920,AL,Fewest Walks Allowed,Cleveland,401.0
1920,AL,Saves,St. Louis,14.0
1920,AL,Shutouts,New York,15.0
1920,AL,Strikeouts,Detroit,483.0
1921,AL,Complete Games,New York,92.0
1921,AL,ERA,New York,3.82
1921,AL,Fewest Hits Allowed,New York,1461.0
1921,AL,Fewest Home Runs Allowed,Cleveland,43.0
1921,AL,Fewest Walks Allowed,Cleveland,431.0
1921,AL,Saves,Detroit,17.0
1921,AL,Shutouts,Cleveland,11.0
1921,AL,Strikeouts,New York,481.0
1922,AL,Complete Games,New York,100.0
1922,AL,ERA,St. Louis,3.38
1922,AL,Fewest Hits Allowed,New York,1402.0
1922,AL,Fewest Home Runs Allowed,Boston,48.0
1922,AL,Fewest Walks Allowed,St. Louis,419.0
1922,AL,Saves,St. Louis,22.0
1922,AL,Shutouts,Cleveland,14.0
1922,AL,Strikeouts,St. Louis,534.0
1923,AL,Complete Games,New York,101.0
1923,AL,ERA,New York,3.63
1923,AL,Fewest Hits Allowed,New York,1365.0
1923,AL,Fewest Home Runs Allowed,Cleveland,36.0
1923,AL,Fewest Walks Allowed,Detroit,449.0
1923,AL,Saves,Washington,16.0
1923,AL,Shutouts,Cleveland,10.0
1923,AL,Strikeouts,New York,506.0
1924,AL,Complete Games,Cleveland,87.0
1924,AL,ERA,Washington,3.35
1924,AL,Fewest Hits Allowed,Washington,1329.0
1924,AL,Fewest Home Runs Allowed,Washington,34.0
1924,AL,Fewest Walks Allowed,Detroit,467.0
1924,AL,Saves,Washington,25.0
1924,AL,Shutouts,New York,13.0
1924,AL,Strikeouts,New York,487.0
1925,AL,Complete Games,Cleveland,93.0
1925,AL,ERA,Washington,3.7
1925,AL,Fewest Hits Allowed,Washington,1434.0
1925,AL,Fewest Home Runs Allowed,Cleveland,41.0
1925,AL,Fewest Walks Allowed,Chicago,489.0
1925,AL,Saves,Washington,21.0
1925,AL,Shutouts,Chicago,12.0
1925,AL,Strikeouts,Philadelphia,495.0
1926,AL,Complete Games,Cleveland,96.0
1926,AL,ERA,Philadelphia,3.0
