Year,League,Statistic,Team,Value
1890,PL,Base on Balls,Boston,652
1890,PL,Batting Average,Cleveland,.285
1890,PL,Doubles,Boston,223
1890,PL,Hits,New York,1393
1890,PL,Home Runs,New York,66
1890,PL,On Base Percentage,Boston,.376
1890,PL,Runs,New York,1018
1890,PL,Slugging Average,New York,.405
1890,PL,Triples,Philadelphia,113
