Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1890,PL,Standard,Boston Red Stockings,81,48,,.628,0,
1890,PL,Standard,Brooklyn Wonders,76,56,,.576,6½,
1890,PL,Standard,New York Giants,74,57,,.565,8,
1890,PL,Standard,Chicago Pirates,75,62,,.547,10,
1890,PL,Standard,Philadelphia Quakers,68,63,,.519,14,
1890,PL,Standard,Pittsburgh Burghers,60,68,,.469,20½,
1890,PL,Standard,Cleveland Infants,55,75,,.423,26½,
1890,PL,Standard,Buffalo Bisons,36,96,,.273,46½,
