Year,League,Statistic,Team,Value
1884,UA,Complete Games,St. Louis,104.0
1884,UA,ERA,St. Louis,1.96
1884,UA,Fewest Hits Allowed,Chicago,743.0
1884,UA,Fewest Home Runs Allowed,St. Louis,9.0
1884,UA,Fewest Walks Allowed,Cincinnati,90.0
1884,UA,Saves,St. Louis,6.0
1884,UA,Shutouts,Cincinnati,11.0
1884,UA,Strikeouts,Boston,753.0
