Year,League,Statistic,Team,Value
1917,AL,ERA,Chicago,2.16
1917,AL,Fewest Hits Allowed,Boston,1197
1917,AL,Fewest Home Runs Allowed,Chicago,10
1917,AL,Fewest Walks Allowed,Boston,413
1917,AL,Saves,Cleveland,22
1917,AL,Shutouts,Chicago,22
1917,AL,Strikeouts,Washington,637
1918,AL,Complete Games,Boston,105
1918,AL,ERA,Washington,2.14
1918,AL,Fewest Hits Allowed,Boston,931
1918,AL,Fewest Home Runs Allowed,Boston,9
1918,AL,Fewest Walks Allowed,Chicago,300
1918,AL,Saves,Cleveland,13
1918,AL,Shutouts,Boston,26
1918,AL,Strikeouts,Washington,505
1919,AL,Complete Games,Boston,89
1919,AL,ERA,New York,2.82
1919,AL,Fewest Hits Allowed,New York,1143
1919,AL,Fewest Home Runs Allowed,Boston,16
1919,AL,Fewest Walks Allowed,Chicago,342
1919,AL,Saves,Cleveland,10
1919,AL,Shutouts,Boston,15
1919,AL,Strikeouts,Washington,536
1920,AL,Complete Games,Chicago,109
1920,AL,ERA,New York,3.32
1920,AL,Fewest Hits Allowed,New York,1414
1920,AL,Fewest Home Runs Allowed,Cleveland,31
1920,AL,Fewest Walks Allowed,Cleveland,401
1920,AL,Saves,St. Louis,14
1920,AL,Shutouts,New York,15
1920,AL,Strikeouts,Detroit,483
1921,AL,Complete Games,New York,92
1921,AL,ERA,New York,3.82
1921,AL,Fewest Hits Allowed,New York,1461
1921,AL,Fewest Home Runs Allowed,Cleveland,43
1921,AL,Fewest Walks Allowed,Cleveland,431
1921,AL,Saves,Detroit,17
1921,AL,Shutouts,Cleveland,11
1921,AL,Strikeouts,New York,481
1922,AL,Complete Games,New York,100
1922,AL,ERA,St. Louis,3.38
1922,AL,Fewest Hits Allowed,New York,1402
1922,AL,Fewest Home Runs Allowed,Boston,48
1922,AL,Fewest Walks Allowed,St. Louis,419
1922,AL,Saves,St. Louis,22
1922,AL,Shutouts,Cleveland,14
1922,AL,Strikeouts,St. Louis,534
1923,AL,Complete Games,New York,101
1923,AL,ERA,New York,3.63
1923,AL,Fewest Hits Allowed,New York,1365
1923,AL,Fewest Home Runs Allowed,Cleveland,36
1923,AL,Fewest Walks Allowed,Detroit,449
1923,AL,Saves,Washington,16
1923,AL,Shutouts,Cleveland,10
1923,AL,Strikeouts,New York,506
1924,AL,Complete Games,Cleveland,87
1924,AL,ERA,Washington,3.35
1924,AL,Fewest Hits Allowed,Washington,1329
1924,AL,Fewest Home Runs Allowed,Washington,34
1924,AL,Fewest Walks Allowed,Detroit,467
1924,AL,Saves,Washington,25
1924,AL,Shutouts,New York,13
