Year,League,Statistic,Team,Value
1892,NL,Fewest Home Runs Allowed,Philadelphia,24
1892,NL,Fewest Walks Allowed,Cleveland,413
1892,NL,Saves,Brooklyn,5
1892,NL,Shutouts,Boston,15
1892,NL,Strikeouts,New York,650
1893,NL,Complete Games,Boston,114
1893,NL,ERA,St. Louis,4.06
1893,NL,Fewest Hits Allowed,Pittsburgh,1232
1893,NL,Fewest Home Runs Allowed,Chicago,26
1893,NL,Fewest Walks Allowed,Cleveland,356
1893,NL,Saves,Chicago,5
1893,NL,Shutouts,Pittsburgh,8
1893,NL,Strikeouts,New York,395
1894,NL,Complete Games,Chicago,117
1894,NL,ERA,New York,3.83
1894,NL,Fewest Hits Allowed,New York,1292
1894,NL,Fewest Home Runs Allowed,Baltimore,31
1894,NL,Fewest Walks Allowed,Boston,411
1894,NL,Saves,Baltimore,11
1894,NL,Shutouts,Cleveland,6
1894,NL,Strikeouts,New York,395
1895,NL,Complete Games,Chicago,119
1895,NL,ERA,Baltimore,3.80
1895,NL,Fewest Hits Allowed,Baltimore,1216
1895,NL,Fewest Home Runs Allowed,Pittsburgh,17
1895,NL,Fewest Walks Allowed,Cleveland,346
1895,NL,Saves,Philadelphia,7
1895,NL,Shutouts,Baltimore,10
1895,NL,Strikeouts,New York,409
1896,NL,Complete Games,Chicago,118
1896,NL,ERA,Cleveland,3.46
1896,NL,Fewest Hits Allowed,Cincinnati,1240
1896,NL,Fewest Home Runs Allowed,Pittsburgh,18
1896,NL,Fewest Walks Allowed,Cleveland,280
1896,NL,Saves,Cleveland,5
1896,NL,Shutouts,Cincinnati,11
1896,NL,Strikeouts,Pittsburgh,362
1897,NL,Complete Games,Chicago,131
1897,NL,ERA,New York,3.47
1897,NL,Fewest Hits Allowed,New York,1214
1897,NL,Fewest Home Runs Allowed,Baltimore,18
1897,NL,Fewest Walks Allowed,Cleveland,289
1897,NL,Saves,Boston,7
1897,NL,Shutouts,Boston,8
1897,NL,Strikeouts,New York,456
1898,NL,Complete Games,Cleveland,142
1898,NL,ERA,Chicago,2.83
1898,NL,Fewest Hits Allowed,Boston,1186
1898,NL,Fewest Home Runs Allowed,Pittsburgh,14
1898,NL,Fewest Walks Allowed,Cleveland,309
1898,NL,Saves,Boston,8
1898,NL,Shutouts,Chicago,13
1898,NL,Strikeouts,New York,558
1899,NL,Complete Games,Chicago,147
1899,NL,ERA,Brooklyn,3.25
1899,NL,Fewest Hits Allowed,Boston,1273
1899,NL,Fewest Home Runs Allowed,Baltimore,13
1899,NL,Fewest Walks Allowed,St. Louis,321
1899,NL,Saves,Brooklyn,9
1899,NL,Shutouts,Philadelphia,15
1899,NL,Strikeouts,New York,397
1900,NL,Complete Games,Chicago,137
1900,NL,ERA,Pittsburgh,3.06
1900,NL,Fewest Hits Allowed,Pittsburgh,1232
1900,NL,Fewest Home Runs Allowed,Chicago,21
1900,NL,Fewest Walks Allowed,Pittsburgh,295
1900,NL,Saves,Brooklyn,4
1900,NL,Shutouts,St. Louis,12
1900,NL,Strikeouts,Pittsburgh,415
1901,NL,Complete Games,Chicago,131
1901,NL,ERA,Pittsburgh,2.58
1901,NL,Fewest Hits Allowed,Boston,1196
1901,NL,Fewest Home Runs Allowed,Brooklyn,18
1901,NL,Fewest Walks Allowed,Pittsburgh,244
1901,NL,Saves,Brooklyn,5
1901,NL,Shutouts,Philadelphia,15
