Year,League,Statistic,Team,Value
1891,NL,Base on Balls,Boston,533.0
1891,NL,Batting Average,New York,0.263
1891,NL,Doubles,Brooklyn,200.0
1891,NL,Hits,Cleveland,1295.0
1891,NL,Home Runs,Chicago,60.0
1891,NL,On Base Percentage,Boston,0.337
1891,NL,Runs,Boston,847.0
1891,NL,Slugging Average,New York,0.36
1891,NL,Stolen Bases,Brooklyn,337.0
1891,NL,Triples,Cincinnati,90.0
1892,NL,Base on Balls,Brooklyn,629.0
1892,NL,Batting Average,Brooklyn,0.262
1892,NL,Doubles,Philadelphia,225.0
1892,NL,Hits,Brooklyn,1439.0
1892,NL,Home Runs,Philadelphia,50.0
1892,NL,On Base Percentage,Brooklyn,0.344
1892,NL,Runs,Brooklyn,935.0
1892,NL,Slugging Average,Philadelphia,0.367
1892,NL,Stolen Bases,Brooklyn,409.0
1892,NL,Triples,Baltimore,111.0
1893,NL,Base on Balls,Boston,561.0
1893,NL,Batting Average,Philadelphia,0.301
1893,NL,Doubles,Philadelphia,246.0
1893,NL,Hits,Philadelphia,1553.0
1893,NL,Home Runs,Philadelphia,80.0
1893,NL,On Base Percentage,Pittsburgh,0.377
1893,NL,Runs,Philadelphia,1011.0
1893,NL,Slugging Average,Philadelphia,0.431
1893,NL,Stolen Bases,New York,299.0
1893,NL,Triples,Pittsburgh,127.0
1894,NL,Base on Balls,Washington,617.0
1894,NL,Batting Average,Philadelphia,0.349
1894,NL,Doubles,Boston,272.0
1894,NL,Hits,Philadelphia,1732.0
1894,NL,Home Runs,Boston,103.0
1894,NL,On Base Percentage,Baltimore,0.418
1894,NL,Runs,Boston,1220.0
1894,NL,Slugging Average,Boston,0.484
1894,NL,Stolen Bases,Chicago,327.0
1894,NL,Triples,Baltimore,150.0
1895,NL,Base on Balls,Washington,518.0
1895,NL,Batting Average,Philadelphia,0.33
1895,NL,Doubles,Philadelphia,272.0
1895,NL,Hits,Philadelphia,1664.0
1895,NL,Home Runs,Philadelphia,61.0
1895,NL,On Base Percentage,Philadelphia,0.394
1895,NL,Runs,Philadelphia,1068.0
1895,NL,Slugging Average,Philadelphia,0.45
1895,NL,Stolen Bases,Cincinnati,326.0
1895,NL,Triples,Cincinnati,105.0
1896,NL,Base on Balls,Washington,516.0
1896,NL,Batting Average,Baltimore,0.328
1896,NL,Doubles,Philadelphia,234.0
1896,NL,Hits,Baltimore,1548.0
1896,NL,Home Runs,Philadelphia,49.0
1896,NL,On Base Percentage,Baltimore,0.393
1896,NL,Runs,Baltimore,995.0
1896,NL,Slugging Average,Baltimore,0.429
1896,NL,Stolen Bases,Baltimore,441.0
1896,NL,Triples,Baltimore,100.0
1897,NL,Base on Balls,Baltimore,437.0
1897,NL,Batting Average,Baltimore,0.325
1897,NL,Doubles,Baltimore,243.0
1897,NL,Hits,Baltimore,1584.0
