Year,League,Statistic,Team,Value
1891,NL,ERA,Boston,2.76
1891,NL,Fewest Hits Allowed,New York,1098.0
1891,NL,Fewest Home Runs Allowed,Cleveland,24.0
1891,NL,Fewest Walks Allowed,Boston,364.0
1891,NL,Saves,Boston,6.0
1891,NL,Shutouts,New York,11.0
1891,NL,Strikeouts,New York,651.0
1892,NL,Complete Games,Louisville,147.0
1892,NL,ERA,Cleveland,2.41
1892,NL,Fewest Hits Allowed,Boston,1156.0
1892,NL,Fewest Home Runs Allowed,Philadelphia,24.0
1892,NL,Fewest Walks Allowed,Cleveland,413.0
1892,NL,Saves,Brooklyn,5.0
1892,NL,Shutouts,Boston,15.0
1892,NL,Strikeouts,New York,650.0
1893,NL,Complete Games,Boston,114.0
1893,NL,ERA,St. Louis,4.06
1893,NL,Fewest Hits Allowed,Pittsburgh,1232.0
1893,NL,Fewest Home Runs Allowed,Chicago,26.0
1893,NL,Fewest Walks Allowed,Cleveland,356.0
1893,NL,Saves,Chicago,5.0
1893,NL,Shutouts,Pittsburgh,8.0
1893,NL,Strikeouts,New York,395.0
1894,NL,Complete Games,Chicago,117.0
1894,NL,ERA,New York,3.83
1894,NL,Fewest Hits Allowed,New York,1292.0
1894,NL,Fewest Home Runs Allowed,Baltimore,31.0
1894,NL,Fewest Walks Allowed,Boston,411.0
1894,NL,Saves,Baltimore,11.0
1894,NL,Shutouts,Cleveland,6.0
1894,NL,Strikeouts,New York,395.0
1895,NL,Complete Games,Chicago,119.0
1895,NL,ERA,Baltimore,3.8
1895,NL,Fewest Hits Allowed,Baltimore,1216.0
1895,NL,Fewest Home Runs Allowed,Pittsburgh,17.0
1895,NL,Fewest Walks Allowed,Cleveland,346.0
1895,NL,Saves,Philadelphia,7.0
1895,NL,Shutouts,Baltimore,10.0
1895,NL,Strikeouts,New York,409.0
1896,NL,Complete Games,Chicago,118.0
1896,NL,ERA,Cleveland,3.46
1896,NL,Fewest Hits Allowed,Cincinnati,1240.0
1896,NL,Fewest Home Runs Allowed,Pittsburgh,18.0
1896,NL,Fewest Walks Allowed,Cleveland,280.0
1896,NL,Saves,Cleveland,5.0
1896,NL,Shutouts,Cincinnati,11.0
1896,NL,Strikeouts,Pittsburgh,362.0
1897,NL,Complete Games,Chicago,131.0
1897,NL,ERA,New York,3.47
